id,country,region,type,use,Li,Na,Mg,Al,P,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Pd,Sn,Sb,Ba,La,Ce,Pr,Ir,DeltaD,Delta18O,C13,C13protein
M30,Romania,Transylvania,honeydew,model,0.044,11.9425,4.7545,0.2245,55.5865,124.689,0.00850000000000006,2.5225,0.3285,11.582,0.0165,0.635,0.00999999999999998,0.537,0.003,0.0985,0.2325,0.0205,0.011,0.0015,0.007,0.076,0.0,0.0695,0.0,0.0055,0.0,0.0065,0.0005,0.0,-3.7,1.7,-23.4,-24.135
M31,Romania,Transylvania,honeydew,model,0.0195,12.4675,8.916,0.808,59.88,158.868,0.0455000000000001,2.1535,0.345,10.2255,0.016,0.4885,0.131,0.3375,0.004,0.1235,0.324,0.0725,0.011,0.003,0.007,0.0485,0.0,0.0535,0.0,0.028,0.0005,0.0505,0.0,0.0005,-2.3,1.5,-23.7,-25.354
M32,Romania,Transylvania,honeydew,model,0.044,12.9485,27.9095,0.5845,56.734,881.3885,0.1245,2.627,3.1035,14.1175,0.0325,1.6755,0.1705,1.1295,0.0025,0.0905,1.6485,0.55,0.013,0.0,0.0085,0.0585,0.0,0.099,0.0,0.4405,0.0005,0.025,0.0005,0.0005,-21.0,-3.1,-25.3,-26.517
M33,Romania,Crisana,honeydew,model,0.0195,17.3485,51.983,0.2265,91.338,320.9465,0.051,1.4705,0.9555,7.1565,0.0085,0.401,0.1025,0.5,0.0045,0.1375,1.5135,0.096,0.016,0.0,0.0045,0.02,0.0,0.04,0.0,0.1145,0.0025,0.0005,0.0005,0.0,-2.4,1.1,-24.3,-26.344
M34,Romania,Oltenia,honeydew,model,0.044,11.3085,16.4745,0.5805,0.126,74.4935,0.138,3.2005,0.5075,12.946,0.0215,0.865,0.00499999999999998,0.3965,0.004,0.1075,0.099,0.046,0.007,0.0045,0.0045,0.157,0.0105,0.0625,0.0,0.0415,0.0005,0.0,0.0005,0.001,-1.6,0.5,-26.9,-28.058
M35,Romania,Crisana,colza,model,0.05,19.192,31.297,2.081,62.7825,284.877,0.045,1.9385,0.7505,10.501,0.006,0.345,0.1055,0.6365,0.006,0.1345,0.875,0.2285,0.0135,0.0075,0.0045,0.052,0.0,0.0725,0.0005,0.1245,0.002,0.0095,0.001,0.0005,-16.7,-1.7,-25.6,-26.77
M36,Romania,Muntenia,colza,model,0.023,13.418,6.3515,0.633,43.1285,94.029,0.0525000000000001,4.394,0.32,21.0345,0.019,0.8325,0.055,0.4715,0.0025,0.112,0.1185,0.0355,0.0075,0.0065,0.005,0.096,0.0,0.132,0.0,0.026,0.0015,0.009,0.0005,0.0005,-4.7,-1.7,-24.2,-25.249
M37,Romania,Crisana,colza,model,0.007,15.0095,6.029,2.308,51.672,133.882,0.0365500000000001,2.6575,0.3075,16.331,0.017,0.6265,0.0935,0.5115,0.0015,0.096,0.1975,0.031,0.0065,0.0935,0.0105,0.057,0.0,0.1505,0.0005,0.0495,0.002,0.0235,0.001,0.0015,0.1,-1.9,-23.8,-24.709
M38,Romania,Transylvania,colza,model,0.0125,14.847,7.5755,0.6265,50.1205,143.314,0.024,3.185,0.517,14.8215,0.007,0.8735,0.054,0.4595,0.001,0.1375,0.1665,0.027,0.0045,0.0295,0.0165,0.198,0.0,0.087,0.0,0.015,0.0015,0.0015,0.001,0.0,-0.5,-0.1,-23.8,-24.813
M39,Romania,Oltenia,colza,model,0.007,11.779,19.9725,1.308,47.636,657.317,0.0376000000000001,7.224,2.2885,38.8885,0.052,1.392,0.1495,0.595,0.004,0.098,1.2835,0.4035,0.007,0.014,0.008,0.341,0.0,0.1125,0.001,0.2925,0.0015,0.009,0.0005,0.001,-18.4,-1.0,-25.8,-26.798
M40,Romania,Oltenia,colza,model,0.117,18.9065,32.279,1.008,77.517,799.9785,0.03,2.394,1.982,12.661,0.0085,0.465,0.363,0.3965,0.0035,0.1025,1.135,0.211,0.005,0.0,0.0045,0.086,0.0,0.0945,0.0,0.2075,0.0025,0.004,0.0005,0.0015,-25.2,-1.4,-25.2,-26.129
M41,Romania,Transylvania,galium verum,model,0.0315,3.545,16.365,0.3845,0.1215,87.366,0.02715,2.5865,0.5295,15.7465,0.0195,0.865,0.014,0.518,0.0015,0.09536,0.0865,0.0565,0.006,0.0045,0.004,0.081,0.0,0.036,0.0,0.0105,0.0,0.0025,0.001,0.0,-17.0,0.5,-26.7,-27.34
M42,Romania,Dobrogea,coriander,model,0.044,21.7845,18.3305,1.558,41.59,147.35,0.0242000000000001,5.1705,0.652,31.1315,0.022,1.3535,0.229,0.741,0.003,0.1383,0.279,0.048,0.011,0.008,0.0055,0.197,0.004,0.14,0.0035,0.028,0.0005,0.0065,0.0,0.0005,-11.0,-0.8,-24.1,-26.0
M43,Romania,Transylvania,sunflower,model,0.0195,10.6265,12.839,1.625,0.1245,64.411,0.02385,5.99,0.529,34.753,0.0315,1.0885,0.0155,0.43,0.0045,0.09047,0.099,0.0875,0.007,0.016,0.0075,0.262,0.0,0.1335,0.0,0.02,0.003,0.008,0.0005,0.0015,-4.4,1.7,-25.6,-26.049
M44,Romania,Transylvania,sunflower,model,0.111,17.8465,30.3205,4.1765,72.884,309.118,0.0235000000000001,9.2435,3.3365,51.1705,0.066,1.742,0.1755,0.734,0.008,0.057,0.9275,0.08,0.01,0.0235,0.008,0.427,0.005,0.154,0.0035,0.278,0.002,0.0115,0.0005,0.0005,-13.8,-0.6,-25.9,-25.68
M45,Romania,Crisana,sunflower,model,0.4465,11.6645,86.915,90.1915,116.3895,681.328,0.0245000000000001,1.092,13.659,55.3905,0.034,0.202,1.196,3.881,0.026,0.03,2.493,0.179,0.029,0.161,0.0145,0.0,0.0,0.0275,0.0005,1.3035,0.041,0.092,0.0085,0.001,-20.6,-2.9,-24.9,-25.697
M46,Romania,Transylvania,sunflower,model,0.0315,18.646,49.068,1.6175,74.9235,328.7535,0.0222000000000001,8.631,0.825,45.875,0.062,1.3465,0.123,2.779,0.0055,0.0235,0.4415,0.3235,0.0045,0.0155,0.0115,0.4325,0.002,0.203,0.0,0.073,0.0005,0.008,0.0005,0.002,-22.1,0.8,-24.2,-26.827
M47,Romania,Moldova,sunflower,model,0.0375,20.6225,22.797,1.948,57.5845,302.039,0.0229,5.7415,1.7475,30.468,0.0495,1.8995,0.2045,0.776,0.003,0.007,1.0135,0.1635,0.0015,0.0145,0.0065,0.259,0.002,0.1835,0.0,0.1355,0.0005,0.004,0.0,0.0015,-6.5,-0.6,-26.7,-24.805
M48,Romania,Oltenia,sunflower,model,0.007,10.784,33.4725,0.6885,54.304,240.3155,0.0205500000000001,4.7795,0.536,23.9015,0.033,1.715,0.182,1.0125,0.001,0.035,0.773,0.089,0.0055,0.0005,0.0045,0.2125,0.004,0.1385,0.0005,0.0375,0.001,0.0025,0.0,0.0015,-4.7,2.1,-24.2,-24.885
M49,Romania,Oltenia,thyme,model,0.007,11.0585,13.5735,0.617,0.153,194.176,0.0232500000000001,3.2605,0.752,16.7535,0.021,0.964,0.1595,2.468,0.0035,0.0375,0.258,0.0665,0.0125,0.0,0.0075,0.138,0.0,0.096,0.0,0.162,0.0,0.0015,0.0,0.0005,-3.7,-0.9,-24.8,-25.538
M50,Romania,Transylvania,raspberry,model,0.062,10.5215,11.847,0.1535,47.204,204.662,0.0202000000000001,1.3575,0.7295,7.4535,0.0165,0.808,0.096,0.605,0.0015,0.0405,0.2315,0.0525,0.0055,0.005,0.0065,0.029,0.0,0.0535,0.0005,0.136,0.0,0.001,0.001,0.001,-26.7,-4.1,-24.9,-25.451
FRANTA-1,France,6,acacia,model,0.0115,11.5575,8.6305,1.377,59.1705,166.569,0.133,0.779,0.4265,3.0375,0.008,0.332,0.0645,0.5065,0.0015,0.028,0.2585,0.0285,0.0095,0.0245,0.013,0.058,0.0,0.0185,0.001,0.1315,0.001,0.0025,0.0015,0.001,20.3,1.1,-23.031,-23.958
FRANTA-2,France,5,acacia,model,0.072,15.4835,42.525,4.3665,79.1495,181.3625,0.1535,1.3585,4.911,10.5075,0.03,0.931,0.206,0.734,0.0,0.018,0.7515,0.0435,0.015,0.0585,0.016,0.096,0.0,0.073,0.0,0.2,0.001,0.0015,0.0015,0.0045,0.0,-0.3,-26.417,-26.956
FRANTA-3,France,6,acacia,model,0.0115,11.7335,9.6055,0.0215000000000001,63.3445,163.4995,0.142,0.904,0.3345,5.9075,0.011,0.594,0.0915,0.435,0.0,0.0255,0.4415,0.0055,0.008,0.012,0.017,0.0385,0.0,0.067,0.0005,0.058,0.001,0.0,0.0005,0.0,14.1,0.1,-24.26,-24.881
FRANTA-4,France,3,acacia,model,0.006,17.7,71.653,1.29,97.2485,619.6245,0.0695,1.7745,5.822,8.5095,0.0575,2.7225,0.473,1.0325,0.0,0.02,1.7455,0.147,0.0105,0.0395,0.015,0.154,0.0,0.067,0.04,0.226,0.0015,0.0035,0.001,0.0,14.4,2.3,-25.699,-25.903
FRANTA-5,France,4,acacia,model,0.072,16.0535,13.8295,4.834,59.7225,117.563,0.1655,1.8475,0.804,14.211,0.032,0.6765,0.1055,0.71,0.0025,0.028,0.252,0.0555,0.0075,0.048,0.0165,0.048,0.0,0.0255,0.001,0.214,0.001,0.002,0.002,0.0005,11.8,0.9,-24.872,-25.028
FRANTA-6,France,4,acacia,model,0.0225,9.3185,14.029,1.073,52.8975,115.058,0.14,4.0305,0.823,14.7715,0.0185,0.5465,0.0435,0.2465,0.0005,0.005,0.313,0.0345,0.01,0.0185,0.0155,0.1265,0.009,0.074,0.0,0.0405,0.001,0.004,0.0005,0.002,8.2,-0.1,-25.499,-25.906
FRANTA-7,France,4,acacia,model,0.028,5.6995,5.1545,0.229,38.0125,107.4265,0.053,2.768,0.4505,16.3105,0.0195,1.4605,0.048,0.535,0.0015,0.0,0.244,0.016,0.0085,0.0,0.013,0.1735,0.002,0.065,0.0,0.0745,0.0,0.0065,0.0005,0.0015,14.2,-0.3,-24.348,-24.87
FRANTA-8,France,4,acacia,model,0.05,8.087,4.9785,2.9885,46.062,97.311,0.119,1.6265,0.458,30.39,0.025,0.767,0.0605,2.881,0.002,0.0025,0.196,0.0405,0.0095,0.02,0.0195,0.111,0.0,0.0225,0.002,0.2445,0.004,0.0025,0.003,0.004,17.8,0.3,-25.382,-25.79
FRANTA-9,France,6,acacia,model,0.0225,9.1445,6.272,1.556,45.9025,138.0475,0.1155,1.2755,0.2975,4.1405,0.01,0.352,0.0265,0.251,0.0,0.0,0.1615,0.032,0.007,0.0075,0.0155,0.0635,0.0025,0.0585,0.002,0.0865,0.001,0.012,0.0005,0.003,15.2,1.1,-24.372,-24.863
FRANTA-10,France,3,acacia,model,0.017,7.6725,15.8435,0.495,39.841,176.885,0.038,4.4725,2.374,27.1125,0.047,1.453,0.126,0.4885,0.0005,0.0,0.58,0.013,0.013,0.016,0.016,0.285,0.0045,0.158,0.0,0.175,0.001,0.0035,0.001,0.0,16.1,1.4,-25.548,-25.814
FRANTA-11,France,8,acacia,model,0.0115,4.972,14.09,1.5225,56.899,149.8205,0.0245,1.866,0.7405,11.203,0.0175,0.476,0.0355,0.9415,0.0,0.0,0.221,0.0175,0.006,0.0,0.0105,0.1225,0.0,0.043,0.0,0.05,0.002,0.0085,0.0005,0.0,4.2,0.7,-25.159,-25.566
FRANTA-12,France,5,acacia,model,0.0225,17.683,14.797,20.6945,57.3165,155.104,0.151,6.664,0.5725,36.808,0.034,1.279,0.12,1.1095,0.0045,0.0,0.3955,0.203,0.0075,0.024,0.0135,0.2835,0.009,0.0965,0.0005,0.097,0.006,0.027,0.0035,0.002,13.2,-0.6,-25.592,-25.983
FRANTA-13,France,5,acacia,model,0.028,11.774,8.8825,2.5265,55.8315,126.316,0.1515,8.6155,1.0595,33.348,0.029,1.295,0.078,0.448,0.001,0.0,0.2085,0.016,0.004,0.0145,0.0175,0.2955,0.018,0.137,0.0,0.1215,0.004,0.0095,0.001,0.009,-1.3,-1.0,-25.175,-25.784
