id,country,region,type,use,Li,Na,Mg,Al,P,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Pd,Sn,Sb,Ba,La,Ce,Pr,Ir,DeltaD,Delta18O,C13,C13protein
FRANTA-31,France,8,honeydew,model,0.188,262.9875,294.578,14.8945,461.983,3238.5685,0.158,5.0285,7.887,42.3665,0.09,1.9015,2.9645,1.9855,0.012,0.0075,11.422,0.6155,0.0165,0.022,0.019,0.287,0.008,0.1275,0.005,0.6935,0.022,0.049,0.0075,0.0005,-19.7,-1.9,-25.901,-25.935
FRANTA-32,France,2,honeydew,model,0.0115,31.997,36.569,1.739,79.125,1241.8415,0.1575,9.93,8.1105,44.6535,0.0545,4.8485,0.353,0.854,0.0045,0.013,5.47,0.12,0.008,0.014,0.0185,0.5075,0.0015,0.015,0.0015,0.212,0.0015,0.0015,0.001,0.005,-6.0,0.3,-26.301,-26.49
FRANTA-33,France,7,honeydew,model,0.039,24.4625,58.193,2.1785,87.86,1978.8695,0.131,2.613,23.7705,22.67,0.0265,2.5015,0.35,0.8645,0.0075,0.0,6.3435,0.25,0.0095,0.0,0.0175,0.063,0.0015,0.041,0.001,0.7035,0.001,0.002,0.0005,0.0045,-7.4,0.9,-25.741,-25.898
FRANTA-34,France,5,honeydew,model,0.039,23.7945,33.223,2.6145,69.054,1178.7035,0.117,3.6055,7.73,24.261,0.038,1.315,0.28,0.8895,0.0055,0.028,3.6255,0.1775,0.006,0.0385,0.0165,0.1565,0.0,0.035,0.003,0.253,0.0025,0.005,0.002,0.012,-3.3,0.6,-25.599,-25.981
FRANTA-35,France,3,colza,model,0.039,23.2405,25.2905,1.232,71.0805,184.567,0.134,5.2475,1.1565,24.048,0.029,0.9585,0.1245,0.5325,0.001,0.0,0.465,0.0285,0.004,0.018,0.0165,0.142,0.0055,0.0265,0.0005,0.033,0.002,0.0025,0.0015,0.0045,32.1,4.0,-27.141,-27.372
FRANTA-36,France,3,colza,model,0.0225,16.91,18.5055,0.3365,58.262,126.687,0.1015,0.591,0.7225,6.664,0.015,0.728,0.04,0.6045,0.0,0.0,0.199,0.004,0.012,0.034,0.016,0.0375,0.0,0.1125,0.0005,0.0075,0.002,0.0005,0.001,0.003,37.1,6.4,-27.162,-27.412
FRANTA-37,France,3,colza,model,0.006,17.4145,23.796,2.6045,65.1,167.865,0.105,3.8885,1.531,23.8765,0.041,1.567,0.08,0.7115,0.0015,0.0,0.505,0.057,0.0075,0.041,0.021,0.229,0.0085,0.1135,0.001,0.071,0.002,0.0025,0.004,0.005,20.9,2.3,-26.507,-26.961
FRANTA-38,France,3,colza,model,0.028,29.024,26.6825,3.4065,67.814,160.773,0.1155,8.222,1.232,48.4545,0.062,2.428,0.1695,1.103,0.0,0.018,0.289,0.061,0.0145,0.0335,0.023,0.269,0.0,0.243,0.0005,0.0375,0.001,0.0055,0.0035,0.0045,27.8,5.2,-25.863,-25.939
FRANTA-39,France,4,colza,model,0.0445,36.088,16.031,2.3705,72.64,184.562,0.087,4.6775,1.736,34.244,0.0315,1.301,0.17,2.8075,0.001,0.0,0.3455,0.152,0.012,0.026,0.02,0.1395,0.0,0.1105,0.0045,0.0895,0.0025,0.001,0.002,0.0065,-0.2,0.8,-27.689,-27.642
FRANTA-40,France,3,colza,model,0.039,27.6965,24.4615,9.455,70.5275,201.243,0.084,4.7135,1.183,38.15,0.1,2.2075,0.172,1.691,0.002,0.0,0.292,0.0905,0.0115,0.279,0.0195,0.283,0.0,0.1235,0.001,0.084,0.0025,0.002,0.029,0.001,18.2,4.3,-27.132,-27.418
FRANTA-41,France,8,lavender,model,0.028,34.7365,12.4835,2.8755,74.7035,158.809,0.075,6.2435,0.5305,36.0775,0.029,0.844,0.139,0.6725,0.0,0.0,0.1685,0.107,0.0105,0.012,0.0185,0.177,0.0,0.0415,0.0015,0.0685,0.0015,0.0025,0.0005,0.0065,6.9,1.6,-25.632,-25.791
FRANTA-42,France,3,coriander,model,0.061,44.2245,40.9245,5.5005,143.9835,722.298,0.105,5.941,4.5435,34.615,0.072,1.6395,0.408,1.4735,0.002,0.0,2.0545,0.138,0.0185,0.106,0.0195,0.2135,0.0055,0.139,0.0,0.233,0.0025,0.004,0.0125,0.001,-3.2,2.1,-25.885,-25.94
FRANTA-43,France,6,sunflower,model,0.0225,24.318,34.368,6.364,82.712,459.1955,0.011,9.679,2.107,53.229,0.1015,2.1585,0.2385,1.605,0.005,0.0,1.2685,0.0935,0.011,0.0875,0.0185,0.544,0.009,0.165,0.0,0.2395,0.0025,0.0035,0.0135,0.0,4.4,2.9,-25.727,-25.788
FRANTA-44,France,4,sunflower,model,0.0445,24.934,28.7215,5.135,89.7765,295.1955,0.0735,6.3865,2.9335,35.1575,0.0665,1.9165,0.3085,1.3815,0.001,0.0,2.3915,0.068,0.009,0.0625,0.021,0.2545,0.0,0.1235,0.0,0.1325,0.0015,0.004,0.0145,0.002,-0.3,2.4,-26.301,-26.448
FRANTA-45,France,6,sunflower,model,0.028,23.1135,27.2985,2.246,82.835,312.723,0.093,6.1375,0.734,44.297,0.037,1.3425,0.185,0.98,0.002,0.01,0.6065,0.091,0.0105,0.011,0.0145,0.279,0.0,0.0925,0.0015,0.1415,0.0015,0.0095,0.0005,0.0005,6.5,1.6,-26.501,-26.545
FRANTA-46,France,6,sunflower,model,0.0225,38.26,42.296,3.728,101.2305,340.699,0.0625,4.7255,0.877,42.1915,0.034,2.9915,0.377,1.1745,0.002,0.0,0.6665,0.1025,0.0245,0.022,0.022,0.1685,0.0,0.05,0.0,0.0625,0.003,0.001,0.0015,0.0045,6.1,1.9,-26.701,-26.608
FRANTA-47,France,3,sunflower,model,0.006,39.107,58.4685,2.755,110.9055,469.323,0.0595,2.6935,3.7525,31.4055,0.047,1.3275,0.3305,1.11,0.0035,0.0,3.1575,0.0865,0.0175,0.0945,0.022,0.113,0.0,0.063,0.001,0.085,0.001,0.0005,0.0025,0.003,2.9,2.1,-26.288,-26.594
FRANTA-48,France,3,sunflower,model,0.017,34.2115,40.703,1.898,78.462,298.3435,0.0135,3.214,1.487,28.3115,0.0215,0.984,0.256,0.9825,0.003,0.0,0.806,0.364,0.018,0.012,0.0175,0.096,0.0,0.064,0.001,0.0675,0.002,0.0015,0.0005,0.0,5.2,1.6,-25.853,-26.525
FRANTA-49,France,8,lavender,model,0.0225,46.602,15.0645,2.0895,88.3635,165.0395,0.0345,3.0125,0.6735,28.0155,0.029,1.941,0.3025,1.17,0.0015,0.0,0.2915,0.093,0.016,0.0235,0.0165,0.065,0.002,0.0565,0.0,0.05,0.001,0.0015,0.0005,0.0,15.5,3.6,-25.095,-25.558
FRANTA-50,France,6,lavender,model,0.072,31.4755,21.14,88.5435,29.0515,78.305,0.062,92.775,22.5345,148.367,2.5995,195.022,8.671,160.1155,0.028,0.0,0.2165,0.3635,0.1345,8.813,0.0185,0.6565,0.0,2.4205,0.0065,1.3475,0.07,0.177,0.384,0.0,18.7,3.8,-26.044,-26.426
FRANTA-51,France,7,lavender,model,0.0005,30.641,13.3895,2.0885,82.3435,183.2485,0.0405,3.9795,1.026,33.1425,0.016,1.7005,0.424,1.7525,0.004,0.0,0.5365,0.0555,0.012,0.0625,0.0165,0.1075,0.0,0.077,0.0005,0.217,0.0025,0.0045,0.0015,0.0,22.1,5.8,-25.736,-25.771
FRANTA-52,France,7,lavender,model,0.0115,24.535,15.94,4.7025,72.591,156.486,0.091,8.328,1.1605,53.0205,0.0515,2.2405,0.309,0.806,0.0065,0.0,1.0565,0.077,0.011,0.0645,0.0165,0.359,0.0,0.1095,0.0,0.262,0.003,0.0055,0.002,0.0005,20.9,4.1,-25.519,-25.776
FRANTA-53,France,7,lavender,model,0.028,20.829,7.0165,0.4215,48.651,95.9815,0.0345,0.4615,0.41,9.832,0.0,0.347,0.049,0.431,0.0,0.0,0.171,0.024,0.009,0.024,0.013,0.011,0.0,0.0525,0.0,0.033,0.0005,0.0,0.001,0.0015,19.9,3.8,-25.751,-25.751
